| module                                                                           | #parameters or shape      | #flops        |
|       backbone.body.trunk3.fbnetv2_3_1.pw.conv.weight                            |       (192, 64, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_1.pw.bn                                      |      0.384K               |      99.84K   |
|       backbone.body.trunk3.fbnetv2_3_1.pw.bn.weight                              |       (192,)              |               |
|       backbone.body.trunk3.fbnetv2_3_1.pw.bn.bias                                |       (192,)              |               |
|     backbone.body.trunk3.fbnetv2_3_1.dw.conv                                     |     1.728K                |     0.449M    |
|      backbone.body.trunk3.fbnetv2_3_1.dw.conv.weight                             |      (192, 1, 3, 3)       |               |
|     backbone.body.trunk3.fbnetv2_3_1.pwl                                         |     12.416K               |     3.228M    |
|      backbone.body.trunk3.fbnetv2_3_1.pwl.conv                                   |      12.288K              |      3.195M   |
|       backbone.body.trunk3.fbnetv2_3_1.pwl.conv.weight                           |       (64, 192, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_1.pwl.bn                                     |      0.128K               |      33.28K   |
|       backbone.body.trunk3.fbnetv2_3_1.pwl.bn.weight                             |       (64,)               |               |
|       backbone.body.trunk3.fbnetv2_3_1.pwl.bn.bias                               |       (64,)               |               |
|    backbone.body.trunk3.fbnetv2_3_2                                              |    26.816K                |    6.972M     |
|     backbone.body.trunk3.fbnetv2_3_2.pw                                          |     12.672K               |     3.295M    |
|      backbone.body.trunk3.fbnetv2_3_2.pw.conv                                    |      12.288K              |      3.195M   |
|       backbone.body.trunk3.fbnetv2_3_2.pw.conv.weight                            |       (192, 64, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_2.pw.bn                                      |      0.384K               |      99.84K   |
|       backbone.body.trunk3.fbnetv2_3_2.pw.bn.weight                              |       (192,)              |               |
|       backbone.body.trunk3.fbnetv2_3_2.pw.bn.bias                                |       (192,)              |               |
|     backbone.body.trunk3.fbnetv2_3_2.dw.conv                                     |     1.728K                |     0.449M    |
|      backbone.body.trunk3.fbnetv2_3_2.dw.conv.weight                             |      (192, 1, 3, 3)       |               |
|     backbone.body.trunk3.fbnetv2_3_2.pwl                                         |     12.416K               |     3.228M    |
|      backbone.body.trunk3.fbnetv2_3_2.pwl.conv                                   |      12.288K              |      3.195M   |
|       backbone.body.trunk3.fbnetv2_3_2.pwl.conv.weight                           |       (64, 192, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_2.pwl.bn                                     |      0.128K               |      33.28K   |
|       backbone.body.trunk3.fbnetv2_3_2.pwl.bn.weight                             |       (64,)               |               |
|       backbone.body.trunk3.fbnetv2_3_2.pwl.bn.bias                               |       (64,)               |               |
|    backbone.body.trunk3.fbnetv2_3_3                                              |    26.816K                |    6.972M     |
|     backbone.body.trunk3.fbnetv2_3_3.pw                                          |     12.672K               |     3.295M    |
|      backbone.body.trunk3.fbnetv2_3_3.pw.conv                                    |      12.288K              |      3.195M   |
|       backbone.body.trunk3.fbnetv2_3_3.pw.conv.weight                            |       (192, 64, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_3.pw.bn                                      |      0.384K               |      99.84K   |
|       backbone.body.trunk3.fbnetv2_3_3.pw.bn.weight                              |       (192,)              |               |
|       backbone.body.trunk3.fbnetv2_3_3.pw.bn.bias                                |       (192,)              |               |
|     backbone.body.trunk3.fbnetv2_3_3.dw.conv                                     |     1.728K                |     0.449M    |
|      backbone.body.trunk3.fbnetv2_3_3.dw.conv.weight                             |      (192, 1, 3, 3)       |               |
|     backbone.body.trunk3.fbnetv2_3_3.pwl                                         |     12.416K               |     3.228M    |
|      backbone.body.trunk3.fbnetv2_3_3.pwl.conv                                   |      12.288K              |      3.195M   |
|       backbone.body.trunk3.fbnetv2_3_3.pwl.conv.weight                           |       (64, 192, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_3.pwl.bn                                     |      0.128K               |      33.28K   |
|       backbone.body.trunk3.fbnetv2_3_3.pwl.bn.weight                             |       (64,)               |               |
|       backbone.body.trunk3.fbnetv2_3_3.pwl.bn.bias                               |       (64,)               |               |
|    backbone.body.trunk3.fbnetv2_3_4                                              |    85.28K                 |    13.669M    |
|     backbone.body.trunk3.fbnetv2_3_4.pw                                          |     16.896K               |     4.393M    |
|      backbone.body.trunk3.fbnetv2_3_4.pw.conv                                    |      16.384K              |      4.26M    |
|       backbone.body.trunk3.fbnetv2_3_4.pw.conv.weight                            |       (256, 64, 1, 1)     |               |
|      backbone.body.trunk3.fbnetv2_3_4.pw.bn                                      |      0.512K               |      0.133M   |
|       backbone.body.trunk3.fbnetv2_3_4.pw.bn.weight                              |       (256,)              |               |
|       backbone.body.trunk3.fbnetv2_3_4.pw.bn.bias                                |       (256,)              |               |
|     backbone.body.trunk3.fbnetv2_3_4.dw.conv                                     |     6.4K                  |     1.664M    |
|      backbone.body.trunk3.fbnetv2_3_4.dw.conv.weight                             |      (256, 1, 5, 5)       |               |
|     backbone.body.trunk3.fbnetv2_3_4.se                                          |     33.088K               |     99.328K   |
|      backbone.body.trunk3.fbnetv2_3_4.se.se                                      |      33.088K              |      32.768K  |
|       backbone.body.trunk3.fbnetv2_3_4.se.se.0.conv                              |       16.448K             |       16.384K |
|        backbone.body.trunk3.fbnetv2_3_4.se.se.0.conv.weight                      |        (64, 256, 1, 1)    |               |
|        backbone.body.trunk3.fbnetv2_3_4.se.se.0.conv.bias                        |        (64,)              |               |
|       backbone.body.trunk3.fbnetv2_3_4.se.se.1                                   |       16.64K              |       16.384K |
|        backbone.body.trunk3.fbnetv2_3_4.se.se.1.weight                           |        (256, 64, 1, 1)    |               |
|        backbone.body.trunk3.fbnetv2_3_4.se.se.1.bias                             |        (256,)             |               |
|      backbone.body.trunk3.fbnetv2_3_4.se.avg_pool                                |                           |      66.56K   |
|     backbone.body.trunk3.fbnetv2_3_4.pwl                                         |     28.896K               |     7.513M    |
|      backbone.body.trunk3.fbnetv2_3_4.pwl.conv                                   |      28.672K              |      7.455M   |
|       backbone.body.trunk3.fbnetv2_3_4.pwl.conv.weight                           |       (112, 256, 1, 1)    |               |
|      backbone.body.trunk3.fbnetv2_3_4.pwl.bn                                     |      0.224K               |      58.24K   |
|       backbone.body.trunk3.fbnetv2_3_4.pwl.bn.weight                             |       (112,)              |               |
|       backbone.body.trunk3.fbnetv2_3_4.pwl.bn.bias                               |       (112,)              |               |
|    backbone.body.trunk3.fbnetv2_3_5                                              |    0.144M                 |    22.132M    |
|     backbone.body.trunk3.fbnetv2_3_5.pw                                          |     38.304K               |     9.959M    |
|      backbone.body.trunk3.fbnetv2_3_5.pw.conv                                    |      37.632K              |      9.784M   |
|       backbone.body.trunk3.fbnetv2_3_5.pw.conv.weight                            |       (336, 112, 1, 1)    |               |
|      backbone.body.trunk3.fbnetv2_3_5.pw.bn                                      |      0.672K               |      0.175M   |
|       backbone.body.trunk3.fbnetv2_3_5.pw.bn.weight                              |       (336,)              |               |
|       backbone.body.trunk3.fbnetv2_3_5.pw.bn.bias                                |       (336,)              |               |
|     backbone.body.trunk3.fbnetv2_3_5.dw.conv                                     |     8.4K                  |     2.184M    |
|      backbone.body.trunk3.fbnetv2_3_5.dw.conv.weight                             |      (336, 1, 5, 5)       |               |
|     backbone.body.trunk3.fbnetv2_3_5.se                                          |     59.56K                |     0.146M    |
|      backbone.body.trunk3.fbnetv2_3_5.se.se                                      |      59.56K               |      59.136K  |
|       backbone.body.trunk3.fbnetv2_3_5.se.se.0.conv                              |       29.656K             |       29.568K |
|        backbone.body.trunk3.fbnetv2_3_5.se.se.0.conv.weight                      |        (88, 336, 1, 1)    |               |
|        backbone.body.trunk3.fbnetv2_3_5.se.se.0.conv.bias                        |        (88,)              |               |
|       backbone.body.trunk3.fbnetv2_3_5.se.se.1                                   |       29.904K             |       29.568K |
|        backbone.body.trunk3.fbnetv2_3_5.se.se.1.weight                           |        (336, 88, 1, 1)    |               |
|        backbone.body.trunk3.fbnetv2_3_5.se.se.1.bias                             |        (336,)             |               |
|      backbone.body.trunk3.fbnetv2_3_5.se.avg_pool                                |                           |      87.36K   |
|     backbone.body.trunk3.fbnetv2_3_5.pwl                                         |     37.856K               |     9.843M    |
|      backbone.body.trunk3.fbnetv2_3_5.pwl.conv                                   |      37.632K              |      9.784M   |
|       backbone.body.trunk3.fbnetv2_3_5.pwl.conv.weight                           |       (112, 336, 1, 1)    |               |
